 sin |       lat        |       lon        
 284 |       23.4927238 |       86.6647993
 149 |       23.1502827 |       88.1268852
 594 |       21.8160467 |       87.8429333
 638 |       21.7228794 |       87.6321694
 253 |       21.6829081 |       87.5620078
 280 |       23.3017315 |       87.4105599
 073 |       22.9190232 |       88.7198021
 319 |       24.3045967 |       88.3618767
 326 |       24.4072383 |       88.2541417
 684 |       22.0087125 |       87.7077375
 265 |       22.9751654 |       86.8493284
 582 |       21.8944917 |       87.7627683
 250 |       21.6321933 |       87.5213467
 476 |       22.4869876 |        87.860085
 649 |       22.2236212 |       87.9019902
 275 |       23.0490033 |       87.4394033
 652 |       22.9634667 |        87.350685
 425 |        26.430892 |       89.0574112
 559 |       22.3721469 |       87.4401576
 206 |       22.2843517 |       87.3080883
 734 |       22.8597571 |       88.6572198
 422 |       26.8773167 |       88.9201333
 074 |       22.8232696 |       88.6446075
 076 |       22.8280319 |       88.6265341
 077 |       23.1837465 |       88.8554613
 081 |       22.9788928 |       88.7824631
 229 |         22.72759 |       87.5141417
 233 |       22.7162823 |       87.6107841
 237 |       22.8090399 |       87.5836277
 207 |       22.2066733 |       86.8955317
 202 |       22.5738547 |       86.9214047
 320 |       24.0392548 |       88.4294065
 294 |       23.3650035 |       85.9844162
 318 |       24.0830833 |         88.27129
 231 |       22.8414242 |       87.3437317
 432 |       25.2857133 |       88.9367783
 210 |       22.4329337 |       87.3032063
 213 |       22.5369133 |       87.4449317
 232 |       22.7128769 |       87.1653719
 203 |       22.3014015 |       86.9102724
 208 |       22.4482384 |       87.0023973
 226 |       22.3936633 |        87.015935
 214 |         22.35962 |       87.1192317
 569 |       22.4480886 |       86.8721111
 254 |       22.0890918 |       88.1548853
 558 |       22.0284347 |       87.9755521
 239 |         22.18673 |       87.9652533
 013 |       22.1480571 |       88.4042077
 321 |       24.1442943 |       88.3767042
 323 |       24.1210049 |       88.6645854
 322 |       24.1210927 |       88.5434731
 754 |       24.1659061 |       88.4835273
 209 |        22.364935 |       87.3299633
 317 |         23.93949 |       88.2310967
 240 |       22.3598324 |       87.8922404
 723 |       22.3983885 |       87.6944983
 242 |       22.2508033 |       87.7831067
 244 |        22.287508 |       87.9171448
 251 |       21.9686643 |       87.8098147
 324 |         24.25122 |       88.2782433
 339 |       24.1830225 |       88.0937698
 690 |       26.4853419 |       89.5023986
 166 |       23.5599917 |       87.4956417
 160 |           23.477 |       87.3949923
 551 |       24.0965867 |        88.261767
 268 |       22.8819467 |         86.78118
